Place or Region,City,State,Country,Continent,Activity,Category,Completed,Topics
 ,,,,,plant star jasmine along house exterior,project,no,
 ,,,,,relearn chess,skill,no,
North Fork Clackamas river,,Oregon,USA,North America,swim,adventure,no,swim
Umpqua River,,Oregon,USA,North America,swim,adventure,no,swim
Alpine Lakes Wilderness,,Washington,USA,North America,hike,adventure,no,nature
Badlands Wilderness,,Oregon,USA,North America,hike,adventure,no,nature
Glacier National Park,,Montana,USA,North America,drive the Going to the Sun Road,adventure,no,vista
Ruby Beach,,Washington,USA,North America,Ruby Beach,adventure,no,nature
Rainier National Park,,Washington,USA,North America,"paradise, skyline trail",adventure,no,nature
New York City,New York City,New York,USA,North America,"walk entire length of Manhattan, mostly up broadway then central park then 5th ave",adventure,no,
Oregon City,Oregon City,Oregon,USA,North America,Villa Catalan Cellars,experience,no,
Rockaway Beach,,Oregon,USA,North America,Oregon Coast scenic railway,adventure,no,
 ,,,,,make vanilla extract,project,no,food
 ,,,,,make mozzarella ,project,no,food
 ,,,,,make playlist of favorite album covers,project,no,
Leavenworth,Leavenworth,Washington,USA,North America,have the currywurst again,experience,no,food
 ,,,,,tile making and tile painting,project,no,
 ,,,,,learn Spanish guitar,skill,no,
 ,,,,,buy a sailboat,project,no,
 ,,,,,take the same photo every day for a year?,project,no,
County Clare,,,Ireland,Europe,Cliffs of Moher,adventure,no,vista
Tuscany,,,Italy,Europe,Castello di Vicarello,adventure,no,
Palouse,,,USA,North America,run around,adventure,no,nature
Chelan,Chelan,,USA,North America,The Enchantments,adventure,no,nature
,,,,,eat an ostrich egg,experience,no,food
,,,New Zealand,Oceania,see a kiwi bird,experience,no,animal
 ,,,,,develop a signature jam,project,no,food
Easter Island,,,Chile,South America,Easter Island,adventure,no,
,,,,,tap a tree for maple,project,no,food
Salzburg,Salzburg,,Austria,Europe,"Schloss Leopoldskron, Sound of Music place",adventure,no,
Cleft Island,,,Australia,Oceania,Skull Rock,adventure,no,
Istanbul,Istanbul,,Turkey,Asia,visit,adventure,no,
Budapest,Budapest,,Hungary,Europe,visit,adventure,no,
Edinburgh,Edinburgh,,Scotland,Europe,cafe at Waterstones,adventure,no,
Edinburgh,Edinburgh,,Scotland,Europe,Topping bookstore and cafe,adventure,no,
Isle of Sky,,,Scotland,Europe,visit,adventure,no,
Ranua,Ranua,,Finland,Europe,see Northern Lights,adventure,no,vista
Quebec City,Quebec City,,Canada,North America,visit during winter,adventure,no,winter
Utrecht,Utrecht,,Netherlands,Europe,visit,adventure,no,
Switzerland,,,Switzerland,Europe,take a train in the winter,adventure,no,winter
Faroe Islands,,,Denmark,Europe,visit,adventure,no,
Montenegro,,,Montenegro,Europe,visit,adventure,no,
Kauai,,,USA,North America,go to Puka Dog and get a hot dog,adventure,no,food
Hvar,,,Croatia,Europe,swim,adventure,no,swim
Aleutian Islands,,,USA,North America,visit,adventure,no,nature
Emerald Bay,,,USA,North America,visit,adventure,no,nature
Natural Bridges,,,USA,North America,visit,adventure,no,nature
Camogli,Camogli,,Italy,Europe,visit,adventure,no,swim
Umbria,,,Italy,Europe,visit,adventure,no,
Matera,Matera,,Italy,Europe,visit,adventure,no,
Cefalu,Cefalu,,Italy,Europe,swim,adventure,no,swim
Óbidos,Óbidos,,Portugal,Europe,go at Christmastime,adventure,no,winter
Corvo Island,,,Portugal,Europe,hike,adventure,no,nature
Costa di Baunei,,,Italy,Europe,swim,adventure,no,swim
Antigua,Antigua,,Guatemala,North America,visit,adventure,no,
Tuzkol Lake,,,Kazakhstan,Asia,visit,,no,nature
Katonkaragay,,,Kazakhstan,Asia,visit,adventure,no,nature
Dushanbe,,,Tajikistan,Asia,visit,adventure,no,nature
Skogafoss,,,Iceland,Europe,visit,adventure,no,nature
Lake Atitlan,,,Guatemala,South America,swim,adventure,no,swim
Na Pali Coast,,,USA,North America,swim and hike,adventure,no,nature
Puglia,,,Italy,Europe,visit,adventure,no,
Clutha River,,,New Zealand,Oceania,visit,adventure,no,
Lac Tremblant,,,Canada,North America,hike,adventure,no,nature
Gaspé Peninsula,,,Canada,North America,visit,adventure,no,
Cape Breton,,,Canada,North America,visit,adventure,no,
Seven Sisters,,,Norway,Europe,visit,adventure,no,nature
Cape Flattery,,,USA,North America,visit,adventure,no,
Georgia,,,Georgia,Asia,countryside,adventure,no,
Newfoundland,,,Canada,North America,visit,adventure,no,
Innsbruck,Innsbruck,,Austria,Europe,visit,adventure,no,
Pittenweem,Pittenweem,,Scotland,Europe,visit,adventure,no,
Lucerne,Lucerne,,Switzerland,Europe,visit,adventure,no,
Stoos Ridge,,,Switzerland,Europe,visit,adventure,no,
Timber Gulch,,,USA,North America,drive,adventure,no,vista
São Tomé e Príncipe,,,São Tomé e Príncipe,Africa,swim,adventure,no,swim
Lofoten Islands,,,Norway,Europe,visit,adventure,no,nature
Zhangjiajie National Forest Park,,,China,Asia,visit,adventure,no,nature
West Coast,,,USA,North America,Starlight Train from Seattle to SF,adventure,no,
,,,,,design a deck of cards,project,no,
Girona,Girona,,Spain,Europe,visit,adventure,no,
Andorra,,,Andorra,Europe,visit,adventure,no,
Palawan,,,Philippines,Asia,visit,adventure,no,swim
Cebu,,,Philippines,Asia,visit,adventure,no,
Fairy Lake,,,USA,North America,swim,adventure,no,swim
Asturias,,,Spain,Europe,visit,adventure,no,
,,,,,design a wine label,project,no,
Buenos Aires,Buenos Aires,,Argentina,South America,visit,adventure,no,
Rio de Janeiro,Rio de Janeiro,,Brazil,South America,see a sunset,adventure,no,vista
Cape Town,Cape Town,,South Africa,Africa,,adventure,no,
Mongolia,,,Mongolia,Asia,hike,adventure,no,nature
Samoa,,,Samoa,Oceania,visit,adventure,no,swim
Chimgan,,,Uzbekistan,Asia,hike,adventure,no,nature
Kyoto,Kyoto,,Japan,Asia,eat,adventure,no,food
,,,,,go to a cranberry bog,experience,no,
,,,,,star in a medical commercial,experience,no,
,,,Canada ,North America,see a narwhal,experience,no,animal
,,,,,see an Irish dancing performance,experience,no,
,,,,,paint a mural on a building,project,no,
,,,,,run through an orange grove,experience,no,
,,,,,harvest olives,experience,no,food
,,,,,make an advent calendar,project,no,winter
Mount Tamalpais,,,USA,North America,sunset on Mount Tamalpais,adventure,no,vista
Samos,,,Greece,Europe,visit,adventure,no,
Liguria,,,Italy,Europe,visit,adventure,no,
Mallorca,,,Spain,Europe,swim at Cala Llombards,adventure,no,swim
Lake Crescent,,,USA,North America,swim,adventure,no,swim
Singapore,,,Singapore,Asia,night street market,adventure,no,food
Kathmandu,Kathmandu,,Nepal,Asia,visit,adventure,no,
Mauritius,,,Mauritius,Africa,swim,adventure,no,swim
Isla de Margarita,,,Venezuela,South America,visit,adventure,no,
,,,,,see Mk.Gee as many times as possible,experience,yes,
,,,,,acquire my own wheel of cheese,experience,no,food
Guam,,,,North America,visit,adventure,no,swim
,,,,,learn how to kite surf,skill,no,
,,,,,get really good at scaling fish,skill,no,food
,,,,,practice pottery more,skill,no,
,,,,,continue with portuguese,skill,no,
,,,,,start muay thai when my body is more healed,skill,no,
,,,,,watch mens 10k at Prefontaine or Olympics someday,experience,no,
,,,,,find Lucas again,project,no,